method,task,regime,split,seed,episodes,success,success_probability,precondition_violation,belief_ece,recovery_success,damage_rate,wasted_action,intervention_cost,data_efficiency_proxy
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,0,84,0.5238,0.5451,0.061,0.0689,0.2073,0.0381,0.0546,0.1038,0.2113
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,1,84,0.5714,0.5239,0.0761,0.0657,0.2056,0.0389,0.0518,0.1038,0.2088
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,2,84,0.6548,0.5302,0.063,0.0647,0.1897,0.0423,0.0558,0.1038,0.2232
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,3,84,0.6071,0.5445,0.071,0.0659,0.2003,0.038,0.0593,0.1038,0.2293
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,4,84,0.5833,0.5371,0.071,0.0683,0.1997,0.0432,0.0567,0.1038,0.2264
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,5,84,0.5952,0.5328,0.0631,0.0661,0.192,0.0479,0.055,0.1038,0.223
deterministic_symbolic_tamp,peg_assembly,nominal,nominal,6,84,0.5119,0.5426,0.0709,0.0739,0.199,0.0482,0.0553,0.1038,0.232
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,0,84,0.5,0.4991,0.0783,0.0806,0.1942,0.0558,0.064,0.1125,0.2128
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,1,84,0.5357,0.5054,0.0744,0.0753,0.192,0.0503,0.0574,0.1125,0.2194
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,2,84,0.4881,0.5119,0.0771,0.0819,0.1899,0.0586,0.0668,0.1125,0.2084
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,3,84,0.4643,0.5007,0.0764,0.0861,0.1906,0.0553,0.0585,0.1125,0.2032
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,4,84,0.3571,0.5004,0.0734,0.0842,0.1873,0.0503,0.0588,0.1125,0.2116
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,5,84,0.4881,0.4913,0.0833,0.0815,0.2125,0.0536,0.0589,0.1125,0.2246
deterministic_symbolic_tamp,peg_assembly,nominal,seen_shift,6,84,0.5119,0.4947,0.0758,0.0804,0.181,0.0531,0.0518,0.1125,0.2041
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,0,84,0.5595,0.4801,0.0764,0.0927,0.1998,0.0602,0.0631,0.117,0.1953
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,1,84,0.5,0.4878,0.085,0.0953,0.2048,0.0508,0.0624,0.117,0.1977
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,2,84,0.5476,0.4818,0.0813,0.0898,0.2069,0.0596,0.0545,0.117,0.2004
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,3,84,0.5119,0.4762,0.0903,0.0949,0.2127,0.0595,0.0547,0.117,0.2142
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,4,84,0.5,0.4827,0.0807,0.0923,0.2118,0.0519,0.0674,0.117,0.1904
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,5,84,0.3929,0.4765,0.0769,0.0858,0.1734,0.0584,0.0661,0.117,0.1951
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_object,6,84,0.4048,0.4799,0.0799,0.0952,0.2104,0.0572,0.0636,0.117,0.2178
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,0,84,0.4286,0.4721,0.0809,0.1001,0.2028,0.0556,0.072,0.1202,0.1934
deterministic_symbolic_tamp,peg_assembly,nominal,unseen_contact,1,84,0.4643,0.4754,0.0894,0.109,0.1953,0.065,0.0513,0.1202,0.2052
