ablation,task,regime,split,seed,episodes,success,success_probability,utility,precondition_violation,belief_ece,branch_entropy_error,recovery_success,damage_rate,wasted_action,intervention_cost,probe_overhead,irreversible_commitment,plan_depth_blowup
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,0,6,0.666667,0.647042,0.681768,0.0,0.005617,0.049163,0.583304,0.018861,0.032474,0.208734,0.044707,0.016389,0.034796
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,1,6,1.0,0.657565,1.020647,0.0,0.015048,0.047754,0.59574,0.013034,0.027397,0.208734,0.044707,0.019867,0.031532
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,2,6,0.333333,0.665064,0.350009,0.0,0.008068,0.046948,0.600517,0.016939,0.043675,0.208734,0.044707,0.01647,0.026254
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,3,6,0.833333,0.653713,0.846574,0.0,0.01661,0.052708,0.593715,0.02272,0.029573,0.208734,0.044707,0.024013,0.029237
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,4,6,0.333333,0.652104,0.349848,0.0,0.008955,0.044122,0.584415,0.012348,0.039095,0.208734,0.044707,0.017374,0.032671
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,5,6,0.833333,0.655792,0.84849,0.0,0.011317,0.040735,0.600379,0.026286,0.029794,0.208734,0.044707,0.017983,0.03451
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,6,6,0.666667,0.659002,0.688924,0.0,0.0,0.048317,0.585365,0.01392,0.020984,0.208734,0.044707,0.018744,0.034786
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,7,6,0.833333,0.650277,0.853184,0.0,0.015763,0.039072,0.589925,0.011453,0.028518,0.208734,0.044707,0.02073,0.035865
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,8,6,0.5,0.664218,0.523389,0.0,0.007785,0.042008,0.604961,0.014045,0.027858,0.208734,0.044707,0.021663,0.028212
full_contact_belief_branch_audit_v5,peg_assembly,nominal,heldout_combined_contact_uncertainty,9,6,0.5,0.658841,0.519656,0.000604,0.012335,0.0523,0.604751,0.016395,0.024076,0.208734,0.044707,0.020704,0.037655
